RESOURCE_ID,RESOURCE_DESCRIPTION,RESOURCE_TYPE,DEPARTMENT_ID,SCHEDULE_GROUP_ID,SCHEDULE_NORMALLY,OPERATION_ROW_COUNT,DISTINCT_WORK_ORDERS,DISTINCT_SEQUENCES,FIRST_SCHED_START_DATE,LAST_SCHED_FINISH_DATE
100-13,Press Room Lien Chieh,W,NULL,NULL,Y,337,155,337,2019-09-13 03:40:00.000,2026-04-23 23:50:00.000
100-14,Press Room 660 Ton Seyi,W,NULL,NULL,Y,1562,1513,1562,2019-09-13 14:00:00.000,2026-07-01 08:00:00.000
100-14-1/2BUR,Press Room 660 Ton Seyi,W,NULL,NULL,Y,23,23,23,NULL,NULL
100-15,Press Room 660 Ton Seyi,W,NULL,NULL,Y,1377,1373,1377,2019-09-20 02:50:00.000,2026-06-04 14:40:00.000
100-16,Press Room 440 Ton Seyi,W,NULL,NULL,Y,1286,1263,1286,2019-09-30 11:40:00.000,2026-06-08 16:10:00.000
100-17,Press Room 660 Ton Seyi,W,NULL,NULL,Y,581,552,581,2019-11-14 19:40:00.000,2026-06-05 15:50:00.000
100-18,Press Room 330 Ton Seyi Servo,W,NULL,NULL,Y,663,663,663,2019-09-30 11:40:00.000,2026-06-09 15:40:00.000
100-1806,Press Room 200 Ton Minster,W,NULL,NULL,Y,2127,2117,2126,2011-11-08 22:30:00.000,2027-04-29 23:40:00.000
100-1807,Press Room 200 Ton Minster,W,NULL,NULL,Y,1074,1073,1074,2010-11-19 10:40:00.000,2026-06-12 15:00:00.000
100-1807-1/2BUR,Press Room 200 Ton Minster,W,NULL,NULL,Y,17,17,17,NULL,NULL
100-1814,Press Room 110 ton Bliss,W,NULL,NULL,Y,1006,973,1006,2010-11-10 15:20:00.000,2026-05-05 13:20:00.000
100-1814-GRP,Press Room 110 ton Bliss,W,NULL,NULL,Y,86,86,86,2010-09-03 08:00:00.000,2012-05-21 23:50:00.000
100-1823,Press Room 150 ton Bliss,W,NULL,NULL,Y,1241,1231,1241,2010-09-23 17:30:00.000,2026-06-16 22:30:00.000
100-1850,Press Room 250 Ton Hydraulic,W,NULL,NULL,Y,303,295,303,2010-09-06 14:50:00.000,2021-06-09 21:50:00.000
100-19,Press Room 880 Ton Seyi,W,NULL,NULL,Y,810,764,810,2019-10-04 07:10:00.000,2026-06-04 01:00:00.000
