TABLE_NAME,TRIGGER_NAME,TYPE_DESC,IS_INSTEAD_OF_TRIGGER,IS_DISABLED,TRIGGER_EVENT
RFQ_VENDOR_QUOTE,UPDATE_RFQ_VENDOR_QUOTE,SQL_TRIGGER,NO,NO,UPDATE
RMA,UPDATE_RMA,SQL_TRIGGER,NO,NO,UPDATE
SALES_TAX,UPDATE_SALES_TAX,SQL_TRIGGER,NO,NO,UPDATE
SALES_TAX_GROUP,UPDATE_SALES_TAX_GROUP,SQL_TRIGGER,NO,NO,UPDATE
SCHEDULE,INSERT_SCHEDULE,SQL_TRIGGER,NO,NO,INSERT
SCHEDULE,UPDATE_SCHEDULE,SQL_TRIGGER,NO,NO,UPDATE
SERIES_MODEL_PART,UPDATE_SERIES_MODEL_PART,SQL_TRIGGER,NO,NO,UPDATE
SERVICE,UPDATE_SERVICE,SQL_TRIGGER,NO,NO,UPDATE
SERVICE_DISP_LINE,DELETE_SERVICE_DISP_LINE,SQL_TRIGGER,NO,NO,DELETE
SERVICE_DISP_LINE,INSERT_SERVICE_DISP_LINE,SQL_TRIGGER,NO,NO,INSERT
SERVICE_DISP_LINE,UPDATE_SERVICE_DISP_LINE,SQL_TRIGGER,NO,NO,UPDATE
SERVICE_DISPATCH,DELETE_SERVICE_DISPATCH,SQL_TRIGGER,NO,NO,DELETE
SERVICE_DISPATCH,INSERT_SERVICE_DISPATCH,SQL_TRIGGER,NO,NO,INSERT
SERVICE_DISPATCH,UPDATE_SERVICE_DISPATCH,SQL_TRIGGER,NO,NO,UPDATE
